cell,init,arm,n_pos,R,cell_median_R,pooled_descriptive_median_R
libero_goal_t2_vs_t5,1,RAND,16,0.00948478691185414,0.00948478691185414,0.0007504291551753025
libero_goal_t2_vs_t5,1,LOC,32,0.032327711957507554,0.032327711957507554,0.010097458406011315
libero_goal_t2_vs_t5,1,RAND,32,0.01520644283238953,0.10334594072441439,0.008974087541989327
libero_goal_t2_vs_t5,1,LOC,64,0.041669816123373164,0.041669816123373164,0.018408005189508227
libero_goal_t2_vs_t5,1,RAND,64,0.08288103121751884,0.11568213683018255,0.011327657846378257
libero_goal_t2_vs_t5,1,LOC,128,0.04339431208678358,0.04339431208678358,0.043358237285080065
libero_goal_t2_vs_t5,1,RAND,128,0.5909470501410482,0.39397798059195643,0.07885590549799881
libero_goal_t2_vs_t5,1,LOC,256,0.07190988465978648,0.07190988465978648,0.08185923987198931
libero_goal_t2_vs_t5,1,RAND,256,0.4839222021577183,0.805855603433291,0.18020413913340322
libero_goal_t2_vs_t5,1,LOC,512,0.836266792649496,1.051945942180978,0.7732458939775065
libero_goal_t2_vs_t5,1,RAND,512,0.836266792649496,1.051945942180978,0.7732458939775065
libero_goal_t2_vs_t5,2,LOC,4,-0.005564927092885505,0.0029093470546783314,0.0016333555509041912
libero_goal_t2_vs_t5,2,RAND,4,0.0004396192942726225,0.0004396192942726225,0.00011898447711440095
libero_goal_t2_vs_t5,2,LOC,8,-0.008462229108056496,0.006693276746502298,0.004266180166097809
libero_goal_t2_vs_t5,2,RAND,8,0.0030717531640666452,0.0010177261943333188,0.0011299765445429199
libero_goal_t2_vs_t5,2,LOC,16,-0.008722765818445015,0.01445744373028691,0.005613640435539619
libero_goal_t2_vs_t5,2,RAND,16,0.0006522131895793294,0.00948478691185414,0.0007504291551753025
libero_goal_t2_vs_t5,2,LOC,32,-0.0013758418566144446,0.032327711957507554,0.010097458406011315
libero_goal_t2_vs_t5,2,RAND,32,0.10334594072441439,0.10334594072441439,0.008974087541989327
libero_goal_t2_vs_t5,2,LOC,64,0.010296778610797686,0.041669816123373164,0.018408005189508227
libero_goal_t2_vs_t5,2,RAND,64,0.11568213683018255,0.11568213683018255,0.011327657846378257
libero_goal_t2_vs_t5,2,LOC,128,0.007461003246556206,0.04339431208678358,0.043358237285080065
libero_goal_t2_vs_t5,2,RAND,128,0.3668088090055212,0.39397798059195643,0.07885590549799881
libero_goal_t2_vs_t5,2,LOC,256,-0.0011414431839706339,0.07190988465978648,0.08185923987198931
libero_goal_t2_vs_t5,2,RAND,256,0.8061333304276379,0.805855603433291,0.18020413913340322
libero_goal_t2_vs_t5,2,LOC,512,1.051945942180978,1.051945942180978,0.7732458939775065
libero_goal_t2_vs_t5,2,RAND,512,1.051945942180978,1.051945942180978,0.7732458939775065
libero_goal_t3_vs_t2,0,LOC,4,0.0009044121824714249,0.0007461327153616323,0.0016333555509041912
libero_goal_t3_vs_t2,0,RAND,4,0.006582145559660623,0.0002798260485561183,0.00011898447711440095
libero_goal_t3_vs_t2,0,LOC,8,0.0038700948736961373,0.0038700948736961373,0.004266180166097809
libero_goal_t3_vs_t2,0,RAND,8,-0.0005518345980503063,-0.0005518345980503063,0.0011299765445429199
libero_goal_t3_vs_t2,0,LOC,16,0.003698836324861883,0.003698836324861883,0.005613640435539619
libero_goal_t3_vs_t2,0,RAND,16,-0.0031286847896165385,-0.0031286847896165385,0.0007504291551753025
libero_goal_t3_vs_t2,0,LOC,32,0.004334554792128267,0.004334554792128267,0.010097458406011315
libero_goal_t3_vs_t2,0,RAND,32,-0.017345281058372783,-0.004351871743625637,0.008974087541989327
libero_goal_t3_vs_t2,0,LOC,64,0.010103433908473465,0.010103433908473465,0.018408005189508227
libero_goal_t3_vs_t2,0,RAND,64,0.07097653210045805,-0.0005315887491771971,0.011327657846378257
libero_goal_t3_vs_t2,0,LOC,128,0.014136334627176296,0.014136334627176296,0.043358237285080065
libero_goal_t3_vs_t2,0,RAND,128,-0.02278943085433064,0.005105958287546828,0.07885590549799881
libero_goal_t3_vs_t2,0,LOC,256,0.08687831311550093,0.07957594874564361,0.08185923987198931
libero_goal_t3_vs_t2,0,RAND,256,0.049681211738524036,0.08067760381206163,0.18020413913340322
libero_goal_t3_vs_t2,0,LOC,512,0.7226116406854366,0.7226116406854366,0.7732458939775065
libero_goal_t3_vs_t2,0,RAND,512,0.7226116406854366,0.7226116406854366,0.7732458939775065
libero_goal_t3_vs_t2,1,LOC,4,-0.0005877681787257301,0.0007461327153616323,0.0016333555509041912
libero_goal_t3_vs_t2,1,RAND,4,4.072889548158125e-05,0.0002798260485561183,0.00011898447711440095
libero_goal_t3_vs_t2,1,LOC,8,-0.002134315946873382,0.0038700948736961373,0.004266180166097809
libero_goal_t3_vs_t2,1,RAND,8,-0.0007105056426320614,-0.0005518345980503063,0.0011299765445429199
